CB,Localisation,Cote,Sous-localisation,Type de document,Titre,Auteur,Editeur,Date de publication,Date de création
*88086155608X*,AUSTSOCI,020 MET,,DOA,Le métier de bibliothécaire,Association des bibliothécaires français,Éd. du Cercle de la librairie,2003,17/07/2007
*880861562481*,AUSTSOCI,020 BIB,,DOA,"Bibliothécaire, quel métier ?",sous la dir. de Bertrand Calenge,Éd. du Cercle de la librairie,2004,10/04/2007
*880861565207*,AUSTSOCI,020 HIS/2,,DOA,Histoire des bibliothèques françaises,"sous la dir. de Claude Jolly,...",Promodis-Éd. du Cercle de la Librairie,impr. 1988,11/04/2007
*880861565219*,AUSTSOCI,020 HIS/3,,DOA,Histoire des bibliothèques françaises,"sous la dir. de Dominique Varry,...",Promodis-Éd. du Cercle de la librairie,impr. 1991,11/04/2007
*880861565220*,AUSTSOCI,020 HIS/4,,DOA,Histoire des bibliothèques françaises,"sous la dir. de Martine Poulain,...",Promodis-Éd. du Cercle de la librairie,impr. 1992,11/04/2007
*880861577589*,AUSTSOCI,020 POL,,DOA,La grande numérisation,Lucien X. Polastron,Denoel,2006,12/07/2007
*880861585929*,AUSTSOCI,020 DIM,,DOA,Dimensions sociales du document,dossier coordonné par Caroline Courbières et Gérard Régimbeau,Presses universitaires du Mirail,2006,31/07/2007
*880861585954*,AUSTFORM,FP 026 COU,,FORM,La couverture ne fait pas le livre !,"Ronni Abergel, Antje Rothemund, Gavan Titley, Péter Wootsch",Conseil de l'Europe,2006,12/07/2007
*880861586039*,AUSTFORM,FP 027.5 DOC,,FORM,Document numérique et société,sous la direction de Ghislaine Chartron et Évelyne Broudoux,ADBS éd.,2006,30/07/2007
*880861643401*,AUSTACTU,020 BON,,ORA,Des bibliothèques pleines de fantômes,Jacques Bonnet,Denoel,2008,15/04/2009
*880861643883*,AUSTSOCI,025 DIC,,DOA,Dictionnaire de l'information,directeur du comité de rédaction Serge Cacaly,A. Colin,2008,27/12/2008
*88086164442X*,AUSTSOCI,384.3 COM,,DOA,Préparer et réussir le CAPES de documentation,"Jean Michel Bazin, Magali Danner, Claude Morizio",De Boeck,2008,08/01/2009
*880861705671*,AUSTFORM,FP 020 IMA,,FORM,Imaginaire de la bibliothèque,[Bibliothèque nationale de France],Bibliothèque nationale de France,impr. 2003,27/07/2007
